period,site,date,sampleID,uniqueID,species,stipe_blade,length,tray,tray_wet,time_oven,tray_dry,comments,tag
2017-Jul,Triquet,2017-07-14,212,MI0890,macro,stipe,5,571.2,2196,24,825.5,,na
2017-Jul,Triquet,2017-07-14,213,MI0891,macro,blade,5,508.7,1794.2,24,700.8,,na
2017-Jul,Triquet,2017-07-14,214,MI0891,macro,stipe,5,521.5,3038.1,24,841,,na
2017-Jul,Triquet,2017-07-14,215,MI0892,macro,blade,5,489,1741.2,24,665.5,,na
2017-Jul,Triquet,2017-07-14,216,MI0892,macro,stipe,5,541.3,2219,24,803.8,,na
2017-Jul,Triquet,2017-07-14,217,MI0893,macro,blade,5,470.7,2027.4,24,783.4,,na
2017-Jul,Triquet,2017-07-14,218,MI0893,macro,stipe,5,514,2425.1,24,765.9,,na
2019-Jul,simmonds,2019-07-04,85.1,na,macro,stipe,5,7824.1,12462.1,24,8257.8,"sample id was replicate, added .1",na
2019-Jul,simmonds,2019-07-04,86.1,na,macro,blade,20,7941.9,9828,24,8221,"sample id was replicate, added .1, blade section = 20cm by 5cm",na
2019-Jul,simmonds,2019-07-04,87.1,na,macro,blade,20,7643.8,9725.8,24,7968.2,"sample id was replicate, added .1, blade section = 20cm by 5cm",na
2019-Jul,simmonds,2019-07-04,88.1,na,macro,stipe,5,7110.7,886.9,24,7270,"sample id was replicate, added .1",na
2019-Jul,simmonds,2019-07-04,89.1,na,macro,blade,20,7237.5,8911.7,24,7499.8,"sample id was replicate, added .1, blade section = 20cm by 5cm",na
2019-Jul,simmonds,2019-07-04,90.1,na,macro,blade,20,10105.4,11840.6,24,10275.4,"sample id was replicate, added .1, blade section = 20cm by 5cm",na
2019-Jul,simmonds,2019-07-04,91.1,na,macro,blade,20,7539.8,9211.6,24,7695.2,"sample id was replicate, added .1, blade section = 20cm by 5cm",na
2019-Jul,simmonds,2019-07-04,92.1,na,macro,stipe,5,7353.4,11048.8,24,7709.2,"sample id was replicate, added .1",na
2019-Jul,simmonds,2019-07-04,93.1,na,macro,stipe,5,7553.1,10697.8,24,7838.7,"sample id was replicate, added .1",na
2019-Jul,simmonds,2019-07-04,94.1,na,macro,stipe,5,7172.5,9427.1,24,7396.8,"sample id was replicate, added .1",na
2019-Jul,stryker,2019-07-05,95.1,na,macro,blade,20,7027.2,8301.5,24,7181.5,"sample id was replicate, added .1, blade section = 20cm by 5cm",na
2019-Jul,stryker,2019-07-05,96.1,na,macro,blade,20,7823.4,8963.5,24,7959.9,"sample id was replicate, added .1, blade section = 20cm by 5cm",na
2019-Jul,stryker,2019-07-05,97.1,na,macro,blade,20,7116.6,8364.7,24,7269.2,"sample id was replicate, added .1, blade section = 20cm by 5cm",na
2019-Jul,stryker,2019-07-05,98.1,na,macro,blade,20,7685.7,8857,24,7827.3,"sample id was replicate, added .1, blade section = 20cm by 5cm",na
2019-Jul,stryker,2019-07-05,99.1,na,macro,blade,20,7538.2,9050.6,24,7724.3,"sample id was replicate, added .1, blade section = 20cm by 5cm",na
2019-Jul,stryker,2019-07-05,100.1,na,macro,stipe,5,7171.5,9090.7,24,7383.3,"sample id was replicate, added .1",na
2019-Jul,stryker,2019-07-05,101.1,na,macro,stipe,5,7852.1,10041.7,24,8073.7,"sample id was replicate, added .1",na
2019-Jul,stryker,2019-07-05,102.1,na,macro,stipe,5,7700.4,9887.9,24,7921.3,"sample id was replicate, added .1",na
2019-Jul,stryker,2019-07-05,103.1,na,macro,stipe,5,7120.2,9099.2,24,7325.3,"sample id was replicate, added .1",na
2019-Jul,stryker,2019-07-05,104.1,na,macro,stipe,5,8180.2,10096.9,24,8401.3,"sample id was replicate, added .1",na
2019-Jul,Meay,2019-07-08,105.1,na,macro,blade,20,7937.5,9577.7,24,8154.6,"sample id was replicate, added .1, blade section = 20cm by 5cm",na
2019-Jul,Meay,2019-07-08,106.1,na,macro,blade,20,7215.3,9915.4,24,7478.9,"sample id was replicate, added .1, blade section = 20cm by 5cm",na
2019-Jul,Meay,2019-07-08,107.1,na,macro,blade,20,7684,9890.3,24,7992.7,"sample id was replicate, added .1, blade section = 20cm by 5cm",na
2019-Jul,Meay,2019-07-08,108.1,na,macro,blade,20,7362.3,9493.1,24,7699.9,"sample id was replicate, added .1, blade section = 20cm by 5cm",na
2019-Jul,Meay,2019-07-08,109.1,na,macro,blade,20,7360,9395.2,24,7673.8,"sample id was replicate, added .1, blade section = 20cm by 5cm",na
2019-Jul,Meay,2019-07-08,110.1,na,macro,stipe,5,7842.5,10045.2,24,8102.1,"sample id was replicate, added .1",na
2019-Jul,Meay,2019-07-08,111.1,na,macro,stipe,5,7215.5,8389.2,24,7352,"sample id was replicate, added .1",na
