period,date,site,diver,transect,side,dist,Sbulb_max,comments
2022-Jun,2022-06-27,Owen,ZM,1,na,na,35,
2022-Jun,2022-06-27,Owen,ZM,1,na,na,20,
2022-Jun,2022-06-27,Owen,ZM,1,na,na,24,
2022-Jun,2022-06-27,Owen,ZM,1,na,na,24,
2022-Jun,2022-06-27,Owen,ZM,1,na,na,32,
2022-Jun,2022-06-27,Owen,LL,2,na,na,21,
2022-Jun,2022-06-27,Owen,LL,2,na,na,31,
2022-Jun,2022-06-27,Owen,LL,2,na,na,25,
2022-Jun,2022-06-27,Owen,LL,2,na,na,23,
2022-Jun,2022-06-27,Owen,LL,2,na,na,34,
2022-Jun,2022-06-27,Owen,LL,2,na,na,6,
2022-Jun,2022-06-27,Owen,LL,2,na,na,10,
2022-Jun,2022-06-27,Owen,LL,2,na,na,26,
2022-Jun,2022-06-27,Owen,LL,2,na,na,35,
2022-Jun,2022-06-27,Owen,LL,2,na,na,10,
2022-Jun,2022-06-27,Owen,LL,2,na,na,25,
2022-Jun,2022-06-27,Owen,LL,2,na,na,24,
2022-Jun,2022-06-27,Owen,LL,2,na,na,22,
2022-Jun,2022-06-27,Owen,LL,2,na,na,21,
2022-Jun,2022-06-27,Owen,LL,2,na,na,16,
2022-Jun,2022-06-27,Owen,LL,3,na,na,20,
2022-Jun,2022-06-27,Owen,LL,3,na,na,25,
2022-Jun,2022-06-27,Owen,LL,3,na,na,15,
2022-Jun,2022-06-27,Owen,LL,3,na,na,12,
2022-Jun,2022-06-27,Owen,LL,3,na,na,11,
2022-Jun,2022-06-27,Owen,LL,3,na,na,37,
2022-Jun,2022-06-27,Owen,LL,3,na,na,21,
2022-Jun,2022-06-27,Owen,LL,3,na,na,11,
2022-Jun,2022-06-27,Owen,LL,3,na,na,27,
2022-Jun,2022-06-27,Owen,LL,3,na,na,16,
2022-Jun,2022-06-27,Owen,LL,3,na,na,30,
2022-Jun,2022-06-27,Owen,LL,3,na,na,45,
2022-Jun,2022-06-27,Owen,LL,3,na,na,38,
2022-Jun,2022-06-27,Owen,LL,3,na,na,32,
2022-Jun,2022-06-27,Owen,LL,3,na,na,29,
2022-Jul,2022-07-13,Second,BT,na,na,na,38,
2022-Jul,2022-07-10,Manley,OP,3,na,na,19,
2022-Jul,2022-07-10,Manley,OP,3,na,na,11,
2022-Jul,2022-07-10,Manley,OP,3,na,na,17,
2022-Jul,2022-07-10,Manley,OP,3,na,na,27,
2022-Jul,2022-07-10,Manley,OP,3,na,na,44,
2022-Jul,2022-07-10,Manley,OP,3,na,na,22,
2022-Jul,2022-07-10,Manley,OP,3,na,na,29,
2022-Jul,2022-07-10,Manley,OP,3,na,na,41,
2022-Jul,2022-07-10,Manley,OP,3,na,na,30,
2022-Jul,2022-07-10,Manley,OP,3,na,na,32,
2022-Jul,2022-07-10,Manley,OP,3,na,na,26,
2022-Jul,2022-07-10,Manley,OP,3,na,na,25,
2022-Jul,2022-07-10,Manley,OP,3,na,na,34,
2022-Jul,2022-07-10,Manley,OP,3,na,na,36,
2022-Jul,2022-07-10,Manley,OP,3,na,na,45,
2022-Jul,2022-07-10,Manley,OP,3,na,na,29,
2022-Jul,2022-07-10,Manley,OP,3,na,na,36,
2022-Jul,2022-07-10,Breaker,OP,3,na,na,15,
2022-Jul,2022-07-10,Breaker,OP,3,na,na,16,
2022-Jul,2022-07-10,Breaker,OP,3,na,na,22,
2022-Jul,2022-07-10,Breaker,OP,3,na,na,26,
2022-Jul,2022-07-10,Breaker,OP,3,na,na,28,
2022-Jul,2022-07-10,Breaker,OP,3,na,na,24,
2022-Jul,2022-07-10,Breaker,OP,3,na,na,32,
2022-Jul,2022-07-10,Breaker,OP,3,na,na,16,
2022-Jul,2022-07-10,Breaker,OP,3,na,na,34,
2022-Jul,2022-07-10,Breaker,OP,3,na,na,41,
