period,date,site,contour,transect,diver,tag,stipeL,bladeL,Bwidth,pneuD,Sbulb_max,Sbulb_10,Sbulb_15,Bcount,bladeW,stipeW,Psori,comments,sampleID,uniqueID,"*** stipeL /bladeL = cm, bladeWidth/pneuD/Sbulb_max/Sbulb_10/Sbulb_15 = mm, bladeW/stipeW = kg"
2018-Aug,2018-08-19,McMullins,na,na,KH/BMM/OP/NAP,na,845,153,na,82,na,41,41,46,1.46,1.34,na,,na,na,
2018-Aug,2018-08-19,McMullins,na,na,KH/BMM/OP/NAP,na,864,135,na,98,na,64,62,74,4.35,4.76,na,,na,na,
2018-Aug,2018-08-19,McMullins,na,na,KH/BMM/OP/NAP,na,900,200,na,91,na,52,53,62,3.82,3.29,na,,na,na,
2018-Aug,2018-08-19,McMullins,na,na,KH/BMM/OP/NAP,na,863,110,na,54,na,40,40,62,1.43,2.06,na,,na,na,
2018-Aug,2018-08-19,McMullins,na,na,KH/BMM/OP/NAP,na,870,110,na,80,na,50,51,103,3.5,2.71,na,,na,na,
2018-Aug,2018-08-19,McMullins,na,na,KH/BMM/OP/NAP,na,626,48,na,76,na,20,18,35,0.16,0.42,na,,na,na,
2018-Aug,2018-08-19,McMullins,na,na,KH/BMM/OP/NAP,na,857,105,na,77,na,50,47,66,2.28,2.6,na,,na,na,
2018-Aug,2018-08-21,Second,na,na,GSB,na,343,96,na,120,na,48,44,71,0.87,1.39,na,,na,na,
2018-Aug,2018-08-21,Second,na,na,GSB,na,290,134,na,93,na,38,30,57,2.19,0.81,na,,na,na,
2018-Aug,2018-08-21,Second,na,na,GSB,na,239,116,na,86,na,40,35,83,1.89,1.01,na,,na,na,
2018-Aug,2018-08-21,Second,na,na,GSB,na,259,84,na,88,na,25,24,52,1.01,0.53,na,,na,na,
2018-Aug,2018-08-21,Second,na,na,GSB,na,456,90,na,62,na,17,14,27,0.3,0.21,na,,na,na,
2018-Aug,2018-08-21,Second,na,na,GSB,na,285,93,na,82,na,35,34,61,1.23,0.99,na,,na,na,
2018-Aug,2018-08-21,Second,na,na,GSB,na,316,96,na,85,na,28,28,44,0.85,0.73,na,,na,na,
2018-Aug,2018-08-21,Second,na,na,GSB,na,295,105,na,86,na,32,32,48,1.2,0.76,na,,na,na,
2018-Aug,2018-08-21,Second,na,na,GSB,na,314,99,na,93,na,35,33,47,1.06,0.92,na,,na,na,
2018-Aug,2018-08-21,Second,na,na,GSB,na,285,57,na,73,na,31,20,44,0.4,0.46,na,,na,na,
2018-Aug,2018-08-21,Second,na,na,GSB,na,596,102,na,80,na,30,28,31,0.94,0.53,na,,na,na,
2018-Aug,2018-08-21,Second,na,na,GSB,na,552,139,na,87,na,43,40,47,1.51,1.33,na,,na,na,
2018-Aug,2018-08-21,Second,na,na,GSB,na,482,15,na,62,na,9,7,29,0.06,0.1,na,,na,na,
